Log Start Time,2026-01-17T20:30:06
Delta uS,V Ch1,V Ch2, I, Temp, RTC Stamp
552.0,6.930,0.0,0.0000,76,2026-01-17T20:30:31
548.0,7.618,0.0,0.0000,76,2026-01-17T20:30:31
552.0,8.276,0.0,0.0000,76,2026-01-17T20:30:31
550.0,8.849,0.0,0.0000,76,2026-01-17T20:30:31
550.0,9.336,0.0,0.0000,76,2026-01-17T20:30:31
30064.0,5.756,0.0,0.0000,76,2026-01-17T20:30:32
574.0,4.954,0.0,0.0000,76,2026-01-17T20:30:32
554.0,4.095,0.0,0.0000,76,2026-01-17T20:30:32
550.0,3.293,0.0,0.0000,76,2026-01-17T20:30:32
550.0,2.921,0.0,0.0000,76,2026-01-17T20:30:32
550.0,2.176,0.0,0.0000,76,2026-01-17T20:30:32
550.0,1.461,0.0,0.0000,76,2026-01-17T20:30:32
550.0,0.945,0.0,0.0000,76,2026-01-17T20:30:32
27124.0,1.575,0.0,0.0000,76,2026-01-17T20:30:32
558.0,2.262,0.0,0.0000,76,2026-01-17T20:30:32
552.0,2.635,0.0,0.0000,76,2026-01-17T20:30:32
552.0,3.465,0.0,0.0000,76,2026-01-17T20:30:32
550.0,4.296,0.0,0.0000,76,2026-01-17T20:30:32
550.0,5.155,0.0,0.0000,76,2026-01-17T20:30:32
552.0,6.043,0.0,0.0000,76,2026-01-17T20:30:32
550.0,6.902,0.0,0.0000,76,2026-01-17T20:30:32
550.0,7.303,0.0,0.0000,76,2026-01-17T20:30:32
552.0,8.019,0.0,0.0000,76,2026-01-17T20:30:32
548.0,8.649,0.0,0.0000,76,2026-01-17T20:30:32
552.0,9.193,0.0,0.0000,76,2026-01-17T20:30:32
550.0,9.622,0.0,0.0000,76,2026-01-17T20:30:32
26786.0,6.759,0.0,0.0000,76,2026-01-17T20:30:32
572.0,5.899,0.0,0.0000,76,2026-01-17T20:30:32
560.0,5.012,0.0,0.0000,76,2026-01-17T20:30:32
552.0,4.095,0.0,0.0000,76,2026-01-17T20:30:32
550.0,3.207,0.0,0.0000,76,2026-01-17T20:30:32
550.0,2.348,0.0,0.0000,76,2026-01-17T20:30:32
552.0,2.033,0.0,0.0000,76,2026-01-17T20:30:32
550.0,1.317,0.0,0.0000,76,2026-01-17T20:30:32
550.0,0.773,0.0,0.0000,76,2026-01-17T20:30:32
26184.0,3.150,0.0,0.0000,76,2026-01-17T20:30:32
572.0,4.095,0.0,0.0000,76,2026-01-17T20:30:32
560.0,4.553,0.0,0.0000,76,2026-01-17T20:30:32
552.0,5.498,0.0,0.0000,76,2026-01-17T20:30:32
552.0,6.415,0.0,0.0000,76,2026-01-17T20:30:32
552.0,7.274,0.0,0.0000,76,2026-01-17T20:30:32
548.0,8.076,0.0,0.0000,76,2026-01-17T20:30:32
552.0,8.735,0.0,0.0000,76,2026-01-17T20:30:32
550.0,9.050,0.0,0.0000,76,2026-01-17T20:30:32
554.0,9.536,0.0,0.0000,76,2026-01-17T20:30:32
550.0,9.823,0.0,0.0000,76,2026-01-17T20:30:32
26494.0,3.150,0.0,0.0000,76,2026-01-17T20:30:32
566.0,2.262,0.0,0.0000,76,2026-01-17T20:30:32
554.0,1.890,0.0,0.0000,76,2026-01-17T20:30:32
552.0,1.174,0.0,0.0000,76,2026-01-17T20:30:32
552.0,0.601,0.0,0.0000,76,2026-01-17T20:30:32
25576.0,5.355,0.0,0.0000,76,2026-01-17T20:30:32
568.0,6.329,0.0,0.0000,76,2026-01-17T20:30:32
556.0,6.787,0.0,0.0000,76,2026-01-17T20:30:32
550.0,7.704,0.0,0.0000,76,2026-01-17T20:30:32
550.0,8.477,0.0,0.0000,76,2026-01-17T20:30:32
552.0,9.164,0.0,0.0000,76,2026-01-17T20:30:32
550.0,9.594,0.0,0.0000,76,2026-01-17T20:30:32
550.0,9.909,0.0,0.0000,76,2026-01-17T20:30:32
25492.0,2.176,0.0,0.0000,76,2026-01-17T20:30:32
568.0,1.375,0.0,0.0000,76,2026-01-17T20:30:32
552.0,0.687,0.0,0.0000,76,2026-01-17T20:30:32
25316.0,6.844,0.0,0.0000,76,2026-01-17T20:30:32
572.0,7.790,0.0,0.0000,76,2026-01-17T20:30:32
556.0,8.591,0.0,0.0000,76,2026-01-17T20:30:32
552.0,9.250,0.0,0.0000,76,2026-01-17T20:30:32
552.0,9.737,0.0,0.0000,76,2026-01-17T20:30:32
25058.0,1.432,0.0,0.0000,76,2026-01-17T20:30:32
570.0,0.745,0.0,0.0000,76,2026-01-17T20:30:32
24620.0,8.563,0.0,0.0000,76,2026-01-17T20:30:32
572.0,9.307,0.0,0.0000,76,2026-01-17T20:30:32
27620.0,0.802,0.0,0.0000,76,2026-01-17T20:30:32
560.0,1.575,0.0,0.0000,76,2026-01-17T20:30:32
552.0,2.549,0.0,0.0000,76,2026-01-17T20:30:32
552.0,3.064,0.0,0.0000,76,2026-01-17T20:30:32
552.0,4.153,0.0,0.0000,76,2026-01-17T20:30:32
548.0,5.355,0.0,0.0000,76,2026-01-17T20:30:32
552.0,6.529,0.0,0.0000,76,2026-01-17T20:30:32
550.0,7.589,0.0,0.0000,76,2026-01-17T20:30:32
