Time (ms),A0 (I),A4-A5 (I),A2-A3 (V)
30.723,1.9514,0.28495,112.48
30.733,1.9516,0.27186,113.12
30.744,1.9506,0.25496,111.69
30.755,1.951,0.25853,111.17
30.765,1.9506,0.27567,111.59
30.776,1.951,0.25305,111.71
30.786,1.9524,0.2521,109.77
30.797,1.9518,0.26329,108.77
30.807,1.9518,0.26734,109.46
30.817,1.951,0.23782,110.22
30.828,1.9514,0.24543,107.82
30.838,1.9518,0.25567,108.21
30.849,1.9516,0.24901,108.67
30.86,1.9522,0.23425,106
30.87,1.9516,0.23853,106.02
30.881,1.9518,0.24996,107.07
30.891,1.9522,0.24044,106.45
30.901,1.9522,0.22544,104.49
30.912,1.9518,0.23948,104.47
30.922,1.953,0.23425,105.69
30.933,1.952,0.22425,103.64
30.944,1.952,0.22211,102.6
30.954,1.953,0.2352,103.2
30.965,1.953,0.22044,103.37
30.975,1.9522,0.20711,100.88
30.985,1.953,0.22139,101.13
30.996,1.953,0.22306,101.75
31.006,1.953,0.20354,100.33
31.017,1.953,0.19521,98.669
31.027,1.9522,0.20949,99.394
31.038,1.9524,0.20211,98.669
31.049,1.9522,0.18973,98.587
31.059,1.9524,0.18759,96.992
31.07,1.953,0.20544,98.421
31.08,1.953,0.18116,96.806
31.09,1.9522,0.17949,95.523
31.101,1.952,0.19068,96.226
31.111,1.953,0.18925,96.413
31.122,1.953,0.16569,95.026
31.133,1.953,0.16664,93.038
31.143,1.9533,0.18116,94.094
31.154,1.952,0.16807,94.053
31.164,1.952,0.15188,92.065
31.174,1.9522,0.15569,91.568
31.185,1.9522,0.16688,91.941
31.195,1.952,0.15259,91.61
31.206,1.9516,0.14021,90.368
31.216,1.9516,0.15355,90.119
31.227,1.9516,0.15426,90.119
31.238,1.9518,0.14379,88.753
31.248,1.9514,0.14164,88.836
31.259,1.9516,0.14974,88.194
31.269,1.9516,0.13783,87.448
31.279,1.9512,0.1107,86.413
31.29,1.951,0.11403,86.061
31.3,1.9514,0.12141,87.2
31.311,1.951,0.11927,85.606
31.322,1.9506,0.10832,84.405
31.332,1.9508,0.12522,83.474
31.343,1.9502,0.11879,84.778
31.353,1.951,0.1145,82.645
31.363,1.9504,0.10141,81.507
31.374,1.9502,0.12236,82.418
31.384,1.9494,0.10665,81.942
31.395,1.9498,0.094508,80.099
31.405,1.95,0.10427,79.209
31.416,1.9492,0.089271,80.265
31.427,1.9494,0.075464,78.629
31.437,1.9488,0.084272,77.035
31.448,1.949,0.090461,78.753
31.458,1.949,0.084033,77.863
31.468,1.9494,0.060466,76.021
31.479,1.9486,0.068084,75.751
31.489,1.9486,0.074273,75.482
31.5,1.9488,0.059276,75.213
31.511,1.9476,0.041898,73.516
31.521,1.9484,0.043088,73.681
31.532,1.948,0.027376,73.536
31.542,1.9478,0.008808,72.936
31.552,1.9474,0.0061894,72.253
31.563,1.947,0.0057133,72.687
31.573,1.9474,-0.0064275,72.046
31.584,1.947,-0.014997,69.458
31.595,1.9466,-0.013093,69.52
31.605,1.9466,0.010474,69.975
31.616,1.9466,-0.020949,69.23
31.626,1.9466,-0.029519,66.953
31.637,1.9466,-0.0099983,67.822
31.647,1.9454,-0.0090461,67.553
31.657,1.9456,-0.013093,65.814
31.668,1.9446,-0.020235,65.793
31.678,1.9444,0.0030947,66.021
31.689,1.9454,-0.0040469,63.433
31.7,1.9442,-0.010951,62.957
31.71,1.9442,-0.0095222,62.771
31.721,1.9438,-0.0019044,63.413
31.731,1.9434,-0.01714,60.866
31.741,1.9432,-0.013569,59.417
31.752,1.9426,-0.00095222,61.218
31.762,1.9426,-0.0097603,59.997
31.773,1.942,-0.0073797,58.568
31.784,1.9416,-0.028091,58.506
31.794,1.9414,-0.0054753,58.527
31.805,1.9412,-0.011427,57.347
31.815,1.9412,-0.021663,56.684
31.826,1.9404,-0.0054753,56.125
31.836,1.9402,-0.0019044,56.001
31.846,1.9402,-0.018806,54.034
31.857,1.9396,-0.012617,53.744
31.867,1.9402,-0.0080939,53.206
31.878,1.9387,-0.0064275,52.44
31.889,1.9383,-0.019759,51.757
31.899,1.9383,-0.021901,51.612
31.91,1.9383,0.0038089,51.364
31.92,1.9377,-0.0021425,50.121
31.93,1.9371,-0.0097603,50.039
31.941,1.9365,-0.0069036,50.515
31.951,1.9361,-0.00023806,48.921
31.962,1.9361,-0.010236,47.678
31.973,1.9361,-0.015474,46.643
31.983,1.9357,-0.008808,47.43
31.994,1.9351,-0.013807,45.919
32.004,1.9349,-0.021187,44.801
32.014,1.9337,-0.0099983,46.271
32.025,1.9341,-0.0057133,44.283
32.035,1.9339,-0.014997,42.875
32.046,1.9337,-0.026662,43.082
32.056,1.9337,0.012855,42.668
32.067,1.9327,-0.00071417,41.426
32.078,1.9323,-0.017854,40.101
32.088,1.9323,-0.018568,40.66
32.099,1.9315,-0.0052372,40.577
32.109,1.9313,-0.013331,38.445
32.12,1.9305,-0.018092,37.203
32.13,1.9305,-0.011903,37.803
32.141,1.9305,-0.0080939,37.306
32.151,1.9299,-0.012379,36.333
32.161,1.9293,-0.019044,36.085
32.172,1.9283,-0.011427,35.319
32.182,1.9279,-0.010236,34.491
32.193,1.9279,-0.029281,32.938
32.203,1.9277,-0.014045,32.959
32.214,1.9275,0.0078558,33.062
32.224,1.9263,-0.0090461,31.116
32.235,1.9261,-0.027138,30.661
32.245,1.9261,-0.0057133,32.276
32.256,1.9273,-0.0057133,29.915
32.267,1.9244,-0.015236,27.99
32.277,1.9238,-0.016188,28.508
32.288,1.9244,-0.0083319,28.342
32.298,1.924,-0.010474,26.996
32.309,1.9234,-0.025472,26.003
32.319,1.9224,-0.020949,26.23
32.33,1.9222,-0.0080939,25.112
32.34,1.9224,-0.017854,23.725
32.35,1.9208,-0.021663,23.125
32.361,1.921,-0.00857,23.539
32.371,1.9208,-0.0090461,23.063
32.382,1.9208,-0.017616,20.765
32.392,1.9194,-0.021425,21.904
32.403,1.9188,-0.004523,20.786
32.413,1.918,-0.014521,19.419
32.424,1.9186,-0.023329,18.798
32.434,1.918,-0.012379,19.15
32.445,1.917,-0.0014283,18.591
32.456,1.9168,-0.011189,16.314
32.466,1.9164,-0.021187,16.024
32.477,1.916,0.0033328,16.272
32.487,1.9158,0.0054753,14.451
32.498,1.9146,-0.020949,14.119
32.508,1.9144,-0.022139,14.989
32.519,1.9136,0.0011903,12.297
32.529,1.9132,-0.0080939,11.469
32.539,1.9136,-0.026662,11.076
32.55,1.9126,-0.014283,11.511
32.56,1.9122,0.0064275,9.6061
32.571,1.9114,-0.023567,10.02
32.581,1.911,-0.016664,9.2955
32.592,1.9107,-0.0019044,7.3495
32.602,1.9097,-0.010236,6.3557
32.613,1.9097,-0.014997,6.6249
32.623,1.9089,-0.01714,5.2171
32.634,1.9083,-0.0092842,5.3413
32.645,1.9087,-0.012855,3.5816
32.655,1.9079,-0.025234,3.5816
32.666,1.9079,-0.018568,3.8714
32.676,1.9079,0.00047611,2.3394
32.687,1.9079,-0.028805,1.3664
32.697,1.9049,-0.013331,2.1324
32.708,1.9051,-0.004285,0.7453
32.718,1.9039,-0.013569,-1.3457
32.728,1.9041,-0.01595,-0.68319
32.739,1.9029,-0.013331,-0.64179
32.749,1.9023,-0.0076178,-1.9254
32.76,1.9031,-0.017854,-3.4367
32.77,1.9015,-0.026424,-3.2089
32.781,1.9009,-0.0038089,-3.8921
32.791,1.9003,-0.00023806,-6.0659
32.802,1.8999,-0.022853,-6.7491
32.812,1.8991,-0.017378,-5.8175
32.823,1.8991,-0.0028567,-6.5214
32.834,1.8983,-0.014759,-7.0389
32.844,1.8981,-0.021187,-7.6186
32.855,1.8973,-0.019044,-7.7428
32.865,1.8966,0.0011903,-10.351
32.876,1.8958,-0.023329,-10.455
32.886,1.8954,-0.029043,-10.662
32.897,1.895,-0.0019044,-10.972
32.907,1.895,-0.0023806,-12.877
32.917,1.8934,-0.030947,-13.167
32.928,1.8938,-0.012855,-12.939
32.938,1.8934,0.0071417,-14.492
32.949,1.8926,-0.018092,-14.513
32.959,1.8922,-0.02452,-14.699
32.97,1.891,-0.011427,-14.927
32.98,1.8904,-0.011903,-17.556
32.991,1.8906,-0.019521,-18.177
33.002,1.8898,-0.022853,-17.287
33.012,1.8892,0.00047611,-17.991
33.023,1.8886,-0.0099983,-19.978
33.033,1.888,-0.018092,-20.392
33.044,1.8876,-0.0080939,-19.129
33.054,1.8874,-0.008808,-22.048
33.065,1.8862,-0.015474,-21.759
33.075,1.8854,-0.018806,-21.841
33.086,1.8854,-0.004523,-22.4
33.096,1.885,-0.0078558,-23.663
33.106,1.8846,-0.019759,-23.953
33.117,1.884,-0.019044,-24.326
33.127,1.8834,0.0026186,-26.106
33.138,1.8825,-0.0033328,-26.417
33.148,1.8821,-0.00857,-25.92
33.159,1.8821,-0.012379,-27.183
33.169,1.8813,0.0035708,-28.218
33.18,1.8801,-0.010236,-28.259
33.191,1.8797,-0.011903,-28.259
33.201,1.8791,-0.0078558,-28.756
33.212,1.8789,-0.0071417,-29.564
33.222,1.8785,-0.025472,-29.853
33.233,1.8783,-0.020235,-30.019
33.243,1.8767,-0.0030947,-31.158
33.254,1.8763,-0.015712,-31.779
33.264,1.8759,-0.022139,-31.054
33.275,1.8757,-0.020473,-32.503
33.285,1.8749,0.0061894,-33.187
33.295,1.8743,-0.014521,-34.304
33.306,1.8735,-0.019759,-32.876
33.316,1.8733,-0.0040469,-35.733
33.327,1.8729,-0.0030947,-36.126
33.337,1.8721,-0.014521,-35.319
33.348,1.8715,-0.004523,-36.313
33.358,1.8711,0.0026186,-37.327
33.369,1.8697,-0.019521,-38.528
33.38,1.8695,-0.019282,-37.7
33.39,1.8695,-0.00047611,-38.756
33.401,1.8682,0.0059514,-39.874
33.411,1.8674,-0.018568,-39.377
33.422,1.867,-0.01714,-40.288
33.432,1.8668,-0.0047611,-40.784
33.443,1.866,-0.0066655,-41.695
33.453,1.865,-0.019521,-39.998
33.464,1.8648,-0.024996,-43.352
33.474,1.8638,0.00023806,-42.855
33.484,1.8634,-0.011427,-43.186
33.495,1.8634,-0.027376,-42.482
33.505,1.8628,-0.0099983,-45.608
33.516,1.8628,0.0071417,-46.25
33.526,1.8614,-0.01714,-45.753
33.537,1.861,-0.014759,-46.022
33.547,1.86,-0.0011903,-46.705
33.558,1.8596,-0.0095222,-48.382
33.569,1.8592,-0.013093,-46.395
33.579,1.8582,-0.012617,-48.155
33.59,1.8576,-0.0061894,-49.024
33.6,1.8578,-0.01595,-48.693
33.611,1.8566,-0.016188,-49.293
33.621,1.8564,-0.0035708,-50.867
33.632,1.8564,-0.0090461,-51.219
33.642,1.8564,-0.022615,-50.66
33.653,1.8564,-0.028567,-51.902
33.663,1.8564,0,-53.206
33.673,1.8564,0.0026186,-52.854
33.684,1.8515,-0.01714,-52.792
33.694,1.8511,-0.012379,-54.303
33.705,1.8507,-0.0019044,-55.131
33.715,1.8505,-0.029519,-55.131
33.726,1.8501,-0.021187,-55.711
33.736,1.8489,0.0019044,-57.119
33.747,1.8485,-0.0078558,-56.581
33.758,1.8481,-0.033328,-57.326
33.768,1.8471,-0.039517,-57.864
33.779,1.8469,-0.022615,-59.148
33.789,1.8459,-0.034042,-57.678
33.8,1.8455,-0.034756,-58.527
33.81,1.8451,-0.016664,-59.934
33.821,1.8441,-0.027138,-60.514
33.831,1.8435,-0.049515,-60.514
33.842,1.8435,-0.045707,-62.398
33.852,1.8419,-0.027852,-62.46
33.862,1.8419,-0.018568,-62.357
33.873,1.8411,-0.03547,-61.798
33.883,1.8407,-0.014521,-62.895
33.894,1.8402,-0.012141,-64.634
33.904,1.8396,-0.0054753,-64.655
33.915,1.8386,-0.030947,-64.779
33.925,1.8376,-0.04404,-66.311
33.936,1.8376,-0.070702,-66.228
33.947,1.8374,-0.083795,-65.938
33.957,1.837,-0.10022,-66.559
33.968,1.836,-0.090223,-67.491
33.978,1.835,-0.098317,-68.361
33.989,1.8342,-0.11141,-67.077
33.999,1.8342,-0.13974,-68.94
34.01,1.8334,-0.11927,-70.596
34.02,1.8332,-0.14188,-69.83
34.031,1.8314,-0.16664,-70.348
34.041,1.8316,-0.14521,-71.342
34.051,1.8308,-0.15474,-71.362
34.062,1.8308,-0.16378,-70.99
34.072,1.8306,-0.1764,-73.019
34.083,1.829,-0.15783,-74.261
34.093,1.8286,-0.1714,-73.578
34.104,1.8284,-0.18306,-74.633
34.114,1.8276,-0.19187,-76.662
34.125,1.8276,-0.17664,-75.793
34.136,1.8268,-0.19354,-75.048
34.146,1.8259,-0.2002,-76.683
34.157,1.8255,-0.20068,-77.449
34.167,1.8251,-0.19378,-78.194
34.178,1.8251,-0.21496,-78.194
34.188,1.8241,-0.21758,-78.277
34.199,1.8229,-0.21853,-79.768
34.209,1.8231,-0.21877,-81.01
34.219,1.8217,-0.2321,-80.554
34.23,1.8215,-0.22544,-81.341
34.24,1.8213,-0.22425,-81.921
34.251,1.8203,-0.24329,-81.32
34.261,1.8201,-0.25329,-83.515
34.272,1.8189,-0.24186,-84.923
34.282,1.8193,-0.24305,-84.012
34.293,1.8183,-0.27757,-85.047
34.303,1.8177,-0.274,-85.937
34.314,1.8167,-0.25615,-86.061
34.325,1.8169,-0.2721,-85.461
34.335,1.8165,-0.289,-86.91
34.346,1.8159,-0.27495,-87.966
34.356,1.8149,-0.27948,-88.07
34.367,1.8141,-0.29757,-88.877
34.377,1.8139,-0.30328,-88.38
34.388,1.8135,-0.28376,-90.119
34.398,1.8131,-0.30447,-89.829
34.408,1.8127,-0.3178,-90.43
34.419,1.8118,-0.31685,-91.858
34.429,1.8112,-0.31828,-91.134
34.44,1.8112,-0.31828,-92.107
34.45,1.8104,-0.33113,-92.79
34.461,1.8112,-0.32066,-94.115
34.471,1.8096,-0.32447,-92.231
34.482,1.809,-0.34899,-94.529
34.492,1.8086,-0.33994,-96.744
34.503,1.8074,-0.33304,-95.419
34.514,1.808,-0.3359,-95.212
34.524,1.8074,-0.35375,-97.158
34.535,1.8064,-0.35732,-97.986
34.545,1.8058,-0.34137,-97.862
34.556,1.8058,-0.35613,-97.903
34.566,1.8056,-0.37422,-98.131
34.577,1.805,-0.35042,-100.43
34.587,1.8048,-0.35637,-100.08
34.597,1.8048,-0.38279,-100.1
34.608,1.803,-0.38208,-101.75
34.618,1.8032,-0.3766,-101.22
34.629,1.8026,-0.37208,-100.72
34.639,1.8024,-0.38041,-103.04
34.65,1.802,-0.38184,-103.37
34.66,1.801,-0.38041,-101.86
34.671,1.8016,-0.39684,-104.24
34.681,1.8002,-0.38946,-105.83
34.692,1.7996,-0.39303,-105.65
34.703,1.7994,-0.40041,-105.11
34.713,1.7996,-0.40136,-106.41
34.724,1.7994,-0.40493,-107.49
34.734,1.7988,-0.39493,-107.14
34.745,1.7988,-0.3847,-107.55
34.755,1.7979,-0.41303,-107.92
34.766,1.7977,-0.40993,-109.21
34.776,1.7975,-0.4016,-108.42
34.786,1.7973,-0.41802,-110.49
34.797,1.7967,-0.43659,-110.55
34.807,1.7965,-0.40636,-111.82
34.818,1.7959,-0.40945,-110.66
34.828,1.7957,-0.44397,-111.84
34.839,1.7953,-0.42969,-113
34.849,1.7951,-0.39755,-112.52
34.86,1.7947,-0.43731,-112.93
34.87,1.7943,-0.44088,-114.3
34.881,1.7939,-0.4116,-114.49
34.892,1.7939,-0.43826,-113.6
34.902,1.7941,-0.4454,-115.09
34.913,1.7939,-0.42993,-116.87
34.923,1.7937,-0.4385,-116.14
34.934,1.7927,-0.43731,-115.4
34.944,1.7927,-0.44992,-117.18
34.955,1.7927,-0.45278,-117.78
34.965,1.7923,-0.43183,-116.68
34.975,1.7923,-0.45326,-117.82
34.986,1.7919,-0.47706,-118.48
34.996,1.7915,-0.4385,-120.14
35.007,1.7919,-0.45849,-118.09
35.017,1.7911,-0.47468,-121.92
35.028,1.7913,-0.44731,-121.38
35.038,1.7909,-0.46754,-120.59
35.049,1.7909,-0.46754,-122.25
35.059,1.7903,-0.4623,-122.83
35.07,1.7911,-0.48111,-122.58
35.081,1.7905,-0.44588,-121.53
35.091,1.7907,-0.46706,-123.24
35.102,1.7901,-0.48873,-123.76
35.112,1.7893,-0.43874,-123.24
35.123,1.7893,-0.48254,-123.78
35.133,1.7903,-0.48611,-125.36
35.144,1.7897,-0.45492,-125.19
35.154,1.7891,-0.49016,-123.93
35.164,1.7889,-0.47183,-126.39
35.175,1.7887,-0.50111,-127.22
35.185,1.7891,-0.47801,-126.74
35.196,1.7895,-0.44635,-125.48
35.206,1.7889,-0.50301,-127.59
35.217,1.7887,-0.4723,-127.57
35.227,1.7887,-0.47635,-126.76
35.238,1.7887,-0.48635,-127.88
35.248,1.7891,-0.46587,-130.22
35.259,1.7883,-0.50801,-128.98
35.27,1.7883,-0.44945,-128.42
35.28,1.7885,-0.48754,-130.16
35.291,1.7885,-0.52301,-131.57
35.301,1.7881,-0.45826,-131.19
35.312,1.7879,-0.50872,-130.74
35.322,1.7885,-0.48182,-131.65
35.333,1.7887,-0.4923,-132.52
35.343,1.7887,-0.50468,-131.67
35.353,1.7891,-0.45564,-131.28
35.364,1.7887,-0.53467,-131.98
35.374,1.7883,-0.46397,-132.95
35.385,1.7883,-0.49373,-131.63
35.395,1.7887,-0.50087,-133.68
35.406,1.7887,-0.48849,-133.59
35.416,1.7887,-0.51539,-133.59
35.427,1.7883,-0.4435,-133.72
35.438,1.7887,-0.52444,-134.32
35.448,1.7887,-0.48468,-134.34
35.459,1.7887,-0.47944,-134.22
35.469,1.7889,-0.52039,-135.25
35.48,1.7891,-0.47444,-135.35
35.49,1.7891,-0.53634,-134.51
35.501,1.7887,-0.45635,-135.17
35.511,1.7889,-0.51063,-136.78
35.522,1.7893,-0.51301,-136.62
35.532,1.7895,-0.4723,-137.07
35.542,1.7897,-0.53753,-136.24
35.553,1.7895,-0.47349,-137.49
35.563,1.7889,-0.54181,-137.96
35.574,1.7899,-0.47873,-135.81
35.584,1.7897,-0.52063,-137.9
35.595,1.7899,-0.51872,-138.48
35.605,1.7897,-0.47659,-137.92
35.616,1.7903,-0.53967,-137.49
35.627,1.7905,-0.46921,-139.52
35.637,1.7909,-0.55467,-138.52
35.648,1.7911,-0.46873,-139.04
35.658,1.7907,-0.50182,-139.23
35.669,1.7913,-0.52943,-139.99
35.679,1.7913,-0.47516,-139.47
35.69,1.7915,-0.54872,-139.99
35.7,1.7919,-0.46159,-139.29
35.711,1.7921,-0.56205,-141.79
35.721,1.7919,-0.46564,-140.34
35.731,1.7921,-0.50444,-141.15
35.742,1.7923,-0.53158,-141.69
35.752,1.7923,-0.47349,-141.38
35.763,1.7931,-0.53301,-140.01
35.773,1.7929,-0.45397,-142.04
35.784,1.7931,-0.5611,-143.45
35.794,1.7935,-0.48135,-141.79
35.805,1.7941,-0.51801,-142.33
35.816,1.7939,-0.52253,-142.99
35.826,1.7955,-0.5023,-143.78
35.837,1.7941,-0.54277,-140.94
35.847,1.7943,-0.46278,-142.83
35.858,1.7945,-0.56467,-144.17
35.868,1.7953,-0.47087,-143.78
35.879,1.7959,-0.52729,-142.87
35.889,1.7957,-0.50111,-144.77
35.9,1.7959,-0.50872,-143.84
35.91,1.7963,-0.53324,-143.88
35.92,1.7967,-0.46921,-145.11
35.931,1.7969,-0.5699,-144.3
35.941,1.7967,-0.47468,-143.9
35.952,1.7973,-0.55967,-143.53
35.962,1.7977,-0.48944,-144.96
35.973,1.7984,-0.52086,-146.43
35.983,1.7988,-0.54205,-144.88
35.994,1.7994,-0.47992,-145.81
36.005,1.7992,-0.55776,-147.26
36.015,1.7992,-0.48301,-146.1
36.026,1.7998,-0.57609,-146.53
36.036,1.8004,-0.47349,-148.44
36.047,1.8008,-0.56181,-147.01
36.057,1.8004,-0.51063,-147.42
36.068,1.8016,-0.51039,-146.95
36.078,1.801,-0.54872,-149.08
36.089,1.8024,-0.51229,-148.38
36.099,1.802,-0.58443,-148.42
36.109,1.8026,-0.44659,-149.18
36.12,1.8028,-0.58395,-148.75
36.13,1.8028,-0.47801,-150.01
36.141,1.8048,-0.55943,-149.06
36.151,1.805,-0.51158,-150.24
36.162,1.805,-0.54657,-151.28
36.172,1.8048,-0.55562,-148.46
36.183,1.8058,-0.48801,-150.28
36.194,1.806,-0.56919,-152.81
36.204,1.8062,-0.47849,-151.85
36.215,1.8068,-0.59585,-151.52
36.225,1.8074,-0.46159,-152.17
36.236,1.807,-0.59585,-152.89
36.246,1.8074,-0.50349,-152.56
36.257,1.8088,-0.55467,-152.85
36.267,1.8092,-0.50801,-154.32
36.278,1.8092,-0.54253,-154.63
36.288,1.8096,-0.56943,-153.78
36.298,1.8102,-0.48349,-154.38
36.309,1.8104,-0.59133,-154.69
36.319,1.8112,-0.47611,-155.56
36.33,1.8118,-0.60775,-154.88
36.34,1.8116,-0.44326,-157.2
36.351,1.8123,-0.59847,-156.53
36.361,1.8123,-0.48492,-155.21
36.372,1.8135,-0.58347,-157.11
36.383,1.8141,-0.50372,-157.03
36.393,1.8147,-0.56371,-157.44
36.404,1.8145,-0.52515,-156.89
36.414,1.8153,-0.5111,-157.88
36.425,1.8161,-0.56324,-158.85
36.435,1.8161,-0.50396,-157.05
36.446,1.8163,-0.588,-157.36
36.456,1.8165,-0.4523,-159.04
36.467,1.8177,-0.62989,-158.02
36.477,1.8181,-0.46397,-158.36
36.487,1.8189,-0.59799,-158.31
36.498,1.8191,-0.45135,-160.67
36.508,1.8195,-0.58823,-158.42
36.519,1.8195,-0.49325,-159.18
36.529,1.8199,-0.53229,-160.01
36.54,1.8213,-0.52991,-160.22
36.55,1.8217,-0.51825,-159.45
36.561,1.8223,-0.55348,-159.7
36.572,1.8223,-0.47921,-160.84
36.582,1.8231,-0.5968,-161.21
36.593,1.8229,-0.46897,-159.39
36.603,1.8245,-0.59442,-160.67
36.614,1.8243,-0.44826,-161.34
36.624,1.8251,-0.59704,-160.34
36.635,1.8257,-0.4673,-161.44
36.645,1.8259,-0.56729,-160.47
36.656,1.8274,-0.50206,-160.26
36.666,1.8278,-0.54419,-160.24
36.676,1.8282,-0.52015,-160.34
36.687,1.8278,-0.49777,-161.67
36.697,1.829,-0.57395,-162.02
36.708,1.8296,-0.47706,-160.57
36.718,1.8306,-0.58085,-161.96
36.729,1.8306,-0.46349,-162.66
36.739,1.8308,-0.59776,-161.67
36.75,1.8316,-0.44516,-161.42
36.761,1.8324,-0.56943,-163.2
36.771,1.8324,-0.48159,-161.79
36.782,1.8326,-0.56752,-160.76
36.792,1.8338,-0.51896,-160.76
36.803,1.834,-0.51087,-163.05
36.813,1.8346,-0.56538,-162.39
36.824,1.835,-0.48016,-162.58
36.834,1.8356,-0.56276,-165
36.844,1.8366,-0.4604,-162.99
36.855,1.837,-0.58871,-162.37
36.865,1.8374,-0.46207,-163.2
36.876,1.838,-0.56824,-163.66
36.886,1.8386,-0.48706,-162.33
36.897,1.8402,-0.56086,-161.21
36.907,1.84,-0.5042,-163.45
36.918,1.8402,-0.50968,-164.32
36.928,1.8407,-0.5611,-161.83
36.939,1.8423,-0.46611,-163.1
36.95,1.8423,-0.55419,-163.47
36.96,1.8427,-0.45611,-163.32
36.971,1.8435,-0.57681,-162.66
36.981,1.8437,-0.45707,-161.92
36.992,1.8445,-0.55038,-163.05
37.002,1.8455,-0.5042,-162.45
37.013,1.8469,-0.51444,-162.33
37.023,1.8463,-0.51872,-162.77
37.033,1.8467,-0.48278,-163.28
37.044,1.8475,-0.56752,-162.5
37.054,1.8483,-0.46159,-163.34
37.065,1.8489,-0.55824,-163.41
37.075,1.8493,-0.46516,-162.66
37.086,1.8493,-0.55443,-163.34
37.096,1.8503,-0.47349,-163.16
37.107,1.8511,-0.50515,-163.12
37.117,1.8523,-0.52729,-162.41
37.128,1.8521,-0.47064,-163.08
37.139,1.8564,-0.55372,-164.73
37.149,1.8564,-0.46587,-162.58
37.16,1.8564,-0.563,-163.01
37.17,1.8564,-0.45064,-163.03
37.181,1.8564,-0.51729,-165.25
37.191,1.8564,-0.49754,-163.66
37.202,1.8564,-0.49539,-162.77
37.212,1.8574,-0.52729,-164.4
37.222,1.8586,-0.44659,-164.32
37.233,1.8588,-0.57657,-161.83
37.243,1.8588,-0.44873,-163.16
37.254,1.8596,-0.53205,-164.52
37.264,1.8604,-0.47159,-162.99
37.275,1.861,-0.52063,-162.39
37.285,1.8622,-0.49087,-163.55
37.296,1.8618,-0.46373,-163.68
37.306,1.8628,-0.54348,-160.8
37.317,1.8628,-0.45111,-164.32
37.328,1.8638,-0.52634,-164.75
37.338,1.8648,-0.46373,-163.26
37.349,1.8646,-0.52777,-163.39
37.359,1.8654,-0.48182,-163.24
37.37,1.8662,-0.46802,-164.32
37.38,1.8668,-0.53467,-163.45
37.391,1.868,-0.47397,-163.7
37.401,1.868,-0.52967,-165.73
37.411,1.8693,-0.46207,-163.66
37.422,1.8693,-0.53277,-162.19
37.432,1.8699,-0.49658,-163.74
37.443,1.8705,-0.46421,-162.58
37.453,1.8713,-0.55038,-163.32
37.464,1.8717,-0.46349,-162.1
37.474,1.8725,-0.52943,-164.81
37.485,1.8727,-0.4454,-163.84
37.495,1.8733,-0.50872,-163.68
37.506,1.8739,-0.50991,-163.66
37.517,1.8745,-0.46397,-162.83
37.527,1.8747,-0.52253,-164.15
37.538,1.8757,-0.4573,-163.45
37.548,1.8763,-0.51991,-164.98
37.559,1.8767,-0.4573,-164.65
37.569,1.8779,-0.50063,-163.99
37.58,1.8777,-0.51134,-164.32
37.59,1.8781,-0.45945,-164.65
37.6,1.8791,-0.51301,-165.35
37.611,1.8801,-0.46207,-162.99
37.621,1.8805,-0.52872,-163.2
37.632,1.8821,-0.46659,-164.98
37.642,1.8803,-0.48397,-163.66
37.653,1.8821,-0.51158,-162.6
37.663,1.8832,-0.44421,-163.59
37.674,1.8834,-0.5211,-163.86
37.684,1.8838,-0.46254,-163.41
37.695,1.8838,-0.50611,-163.76
37.706,1.8848,-0.46944,-163.14
37.716,1.8844,-0.44445,-163.7
37.727,1.8854,-0.52015,-163.45
37.737,1.8866,-0.44397,-164.77
37.748,1.8868,-0.49944,-164.32
37.758,1.8874,-0.46421,-163.82
37.769,1.8886,-0.48825,-164.65
37.779,1.8886,-0.50372,-164.98
37.789,1.8888,-0.43874,-164.42
37.8,1.8892,-0.51991,-163.32
37.81,1.8906,-0.4673,-164.65
37.821,1.8906,-0.47873,-164.32
37.831,1.8914,-0.48087,-163.45
37.842,1.8916,-0.46921,-161.4
37.852,1.8922,-0.5161,-165.23
37.863,1.8928,-0.43897,-164.69
37.873,1.893,-0.49777,-163.41
37.884,1.8938,-0.47968,-163.53
37.895,1.895,-0.45326,-165.33
37.905,1.895,-0.49254,-163.16
37.916,1.8958,-0.44778,-163.01
37.926,1.8958,-0.49992,-164.98
37.937,1.8964,-0.44992,-163.66
37.947,1.8979,-0.45968,-163.16
37.958,1.8979,-0.50563,-164.65
37.968,1.8989,-0.4454,-164.73
37.978,1.8991,-0.47135,-163.41
37.989,1.8995,-0.45897,-163.37
37.999,1.9001,-0.47706,-163.61
38.01,1.9005,-0.48706,-164.36
38.02,1.9003,-0.43588,-162.99
38.031,1.9017,-0.49135,-162.41
38.041,1.9017,-0.46897,-164.65
38.052,1.9023,-0.45278,-162.99
38.062,1.9031,-0.48016,-162.66
38.073,1.9041,-0.45754,-162.5
38.084,1.9041,-0.4704,-163.26
38.094,1.9047,-0.44469,-163.28
38.105,1.9055,-0.46183,-162.68
38.115,1.9079,-0.49039,-162.7
38.126,1.9079,-0.43278,-162.99
38.136,1.9057,-0.48658,-162.77
38.147,1.9079,-0.46683,-161.38
38.157,1.9081,-0.44445,-163.49
38.167,1.9083,-0.45873,-162.66
38.178,1.9089,-0.41969,-161.79
38.188,1.9103,-0.47278,-162.45
