datetime,t_rel_us,A0_V
2026-05-10 20:18:40.273659,872659,42.13973
2026-05-10 20:18:40.273673,872673,42.03500
2026-05-10 20:18:40.274593,873593,1.38963
2026-05-10 20:18:40.274608,873608,1.30000
2026-05-10 20:18:40.274623,873623,1.30000
2026-05-10 20:18:40.274637,873637,1.30000
2026-05-10 20:18:40.274652,873652,1.30000
2026-05-10 20:18:40.274667,873667,1.37956
2026-05-10 20:18:40.274682,873682,1.31511
2026-05-10 20:18:40.415000,0,1.78038
2026-05-10 20:18:41.273874,858874,42.58286
2026-05-10 20:18:41.273888,858888,42.14779
2026-05-10 20:18:41.273903,858903,42.06320
2026-05-10 20:18:41.273918,858918,43.11964
2026-05-10 20:18:41.273932,858932,42.09744
2026-05-10 20:18:41.273947,858947,42.55063
2026-05-10 20:18:41.273962,858962,41.97256
2026-05-10 20:18:41.274865,859865,1.30000
2026-05-10 20:18:41.274885,859885,1.30000
2026-05-10 20:18:41.274900,859900,1.30000
2026-05-10 20:18:41.274914,859914,1.36143
2026-05-10 20:18:41.274929,859929,1.30000
2026-05-10 20:18:41.274944,859944,1.33323
2026-05-10 20:18:41.274959,859959,1.30000
2026-05-10 20:18:41.380000,0,1.30000
2026-05-10 20:18:42.018241,638241,21.87798
2026-05-10 20:18:42.018270,638270,21.85280
2026-05-10 20:18:42.018299,638299,21.92431
2026-05-10 20:18:42.020851,640851,11.97420
2026-05-10 20:18:42.021061,641061,7.48659
2026-05-10 20:18:42.021335,641335,2.71698
2026-05-10 20:18:42.071000,0,7.07569
2026-05-10 20:18:42.071078,78,6.06860
2026-05-10 20:18:42.105000,0,6.19751
2026-05-10 20:18:42.362998,257998,26.45825
2026-05-10 20:18:42.363041,258041,18.39545
2026-05-10 20:18:42.363139,258139,9.54912
2026-05-10 20:18:42.363277,258277,6.97095
2026-05-10 20:18:42.406000,0,5.42406
2026-05-10 20:18:42.688272,282272,3.10371
2026-05-10 20:18:42.719000,0,21.92431
2026-05-10 20:18:42.719052,52,13.67418
2026-05-10 20:18:42.719164,164,7.42213
2026-05-10 20:18:42.759000,0,14.70545
2026-05-10 20:18:42.862998,103998,28.00918
2026-05-10 20:18:42.863041,104041,19.86178
2026-05-10 20:18:42.863140,104140,10.15942
2026-05-10 20:18:42.863237,104237,7.35768
2026-05-10 20:18:42.906000,0,5.93969
2026-05-10 20:18:42.908308,2308,1.30000
2026-05-10 20:18:42.940000,0,8.51785
2026-05-10 20:18:43.362969,422969,21.11964
2026-05-10 20:18:43.363027,423027,13.46471
2026-05-10 20:18:43.363070,423070,10.83820
2026-05-10 20:18:43.363154,423154,7.35768
2026-05-10 20:18:43.406000,0,5.16624
2026-05-10 20:18:43.862957,456957,20.87189
2026-05-10 20:18:43.863014,457014,12.90073
2026-05-10 20:18:43.863059,457059,10.58038
2026-05-10 20:18:43.863143,457143,7.48659
2026-05-10 20:18:43.906000,0,4.86008
2026-05-10 20:18:44.362959,456959,23.81362
2026-05-10 20:18:44.363016,457016,15.18583
2026-05-10 20:18:44.363058,457058,11.53108
2026-05-10 20:18:44.363127,457127,8.51785
2026-05-10 20:18:44.406000,0,6.19751
2026-05-10 20:18:44.417105,11105,5.42406
2026-05-10 20:18:44.448000,0,34.94202
2026-05-10 20:18:44.448028,28,26.69089
2026-05-10 20:18:44.448072,72,19.16084
2026-05-10 20:18:44.448142,142,11.09602
2026-05-10 20:18:44.448212,212,7.99819
2026-05-10 20:18:44.450394,2394,1.73809
2026-05-10 20:18:44.497000,0,34.43747
2026-05-10 20:18:44.497027,27,26.78254
2026-05-10 20:18:44.497071,71,16.41247
2026-05-10 20:18:44.497100,100,15.14958
2026-05-10 20:18:44.497142,142,11.44447
2026-05-10 20:18:44.497212,212,7.39595
2026-05-10 20:18:44.557000,0,8.94083
2026-05-10 20:18:44.700299,143299,1.30000
2026-05-10 20:18:44.731000,0,34.80808
2026-05-10 20:18:44.731027,27,26.28100
2026-05-10 20:18:44.731072,72,19.40455
2026-05-10 20:18:44.731127,127,19.99068
2026-05-10 20:18:44.731184,184,13.54527
2026-05-10 20:18:44.731323,323,6.45532
2026-05-10 20:18:44.783000,0,26.56500
2026-05-10 20:18:44.783028,28,26.56500
2026-05-10 20:18:44.783057,57,24.69483
2026-05-10 20:18:44.783127,127,11.46864
2026-05-10 20:18:44.783170,170,6.97095
2026-05-10 20:18:44.783433,433,5.29515
2026-05-10 20:18:44.835000,0,25.08256
2026-05-10 20:18:44.835039,39,17.41252
2026-05-10 20:18:44.835152,152,8.51785
2026-05-10 20:18:44.835401,401,5.42406
2026-05-10 20:18:44.903000,0,17.74688
2026-05-10 20:18:44.903067,67,10.83820
2026-05-10 20:18:44.903114,114,8.00222
