t_rel_ms,A0_V
2026-05-10 20:06:56.786850,29850,0.00000
2026-05-10 20:06:56.886000,0,2.05070
2026-05-10 20:06:56.886027,27,2.06288
2026-05-10 20:06:56.886056,56,2.04803
2026-05-10 20:06:56.886086,86,2.03594
2026-05-10 20:06:56.886798,798,0.00000
2026-05-10 20:06:56.886826,826,0.00005
2026-05-10 20:06:56.886855,855,0.00000
2026-05-10 20:06:56.886883,883,0.01687
2026-05-10 20:06:56.985000,0,0.00000
2026-05-10 20:06:56.985841,841,2.03786
2026-05-10 20:06:56.985870,870,2.04209
2026-05-10 20:06:56.985898,898,2.03776
2026-05-10 20:06:56.986000,1000,2.06253
2026-05-10 20:06:56.986833,1833,0.00000
2026-05-10 20:06:56.986861,1861,0.00000
2026-05-10 20:06:56.986890,1890,0.00000
2026-05-10 20:06:56.986918,1918,0.00000
2026-05-10 20:06:57.069000,0,1.23228
2026-05-10 20:06:57.069040,40,0.82496
2026-05-10 20:06:57.069111,111,0.57284
2026-05-10 20:06:57.069208,208,0.26824
