Timestamp(ms),Current(uA),D0-D7
50441,895.670,10000000
50442,895.137,10000000
50443,894.613,10000000
50444,893.953,10000000
50445,894.214,10000000
50446,893.564,10000000
50447,893.512,10000000
50448,894.325,10000000
50449,892.162,10000000
50450,894.031,10000000
50451,893.947,10000000
50452,880.620,10000000
50453,870.357,10000000
50454,883.039,10000000
50455,890.281,10000000
50456,890.708,10000000
50457,891.774,10000000
50458,891.733,10000000
50459,892.072,10000000
50460,892.172,10000000
50461,893.432,10000000
50462,892.796,10000000
50463,892.062,10000000
50464,891.835,10000000
50465,892.009,10000000
50466,891.597,10000000
50467,892.853,10000000
50468,891.884,10000000
50469,892.743,10000000
50470,892.750,10000000
50471,893.369,10000000
50472,892.827,10000000
50473,891.855,10000000
50474,891.379,10000000
50475,890.803,10000000
50476,890.757,10000000
50477,891.766,10000000
50478,891.800,10000000
50479,890.799,10000000
50480,889.881,10000000
50481,890.164,10000000
50482,890.755,10000000
50483,891.618,10000000
50484,890.784,10000000
50485,890.424,10000000
50486,890.357,10000000
50487,890.529,10000000
50488,890.504,10000000
50489,890.731,10000000
50490,890.686,10000000
50491,890.643,10000000
50492,889.578,10000000
50493,890.414,10000000
50494,889.908,10000000
50495,890.999,10000000
50496,891.580,10000000
50497,890.494,10000000
50498,892.794,10000000
50499,891.049,10000000
50500,890.073,10000000
50501,890.515,10000000
50502,889.889,10000000
50503,892.126,10000000
50504,891.005,10000000
50505,890.026,10000000
50506,875.749,10000000
50507,868.098,10000000
50508,880.839,10000000
50509,888.299,10000000
50510,889.020,10000000
50511,888.849,10000000
50512,889.989,10000000
50513,890.796,10000000
50514,891.009,10000000
50515,890.488,10000000
50516,891.121,10000000
50517,890.730,10000000
50518,889.744,10000000
50519,889.749,10000000
50520,888.658,10000000
50521,889.407,10000000
50522,891.225,10000000
50523,890.480,10000000
50524,889.984,10000000
50525,890.100,10000000
50526,890.145,10000000
50527,890.252,10000000
50528,890.422,10000000
50529,889.430,10000000
50530,890.799,10000000
50531,890.167,10000000
50532,890.575,10000000
50533,891.472,10000000
50534,890.457,10000000
50535,889.533,10000000
50536,889.761,10000000
50537,888.059,10000000
50538,887.395,10000000
50539,888.428,10000000
50540,887.846,10000000
50541,886.496,10000000
50542,887.756,10000000
50543,888.103,10000000
50544,888.742,10000000
50545,888.156,10000000
50546,889.128,10000000
50547,889.738,10000000
50548,888.921,10000000
50549,889.406,10000000
50550,889.118,10000000
50551,889.783,10000000
50552,888.688,10000000
50553,889.577,10000000
50554,889.665,10000000
50555,889.463,10000000
50556,889.536,10000000
50557,890.512,10000000
50558,889.808,10000000
50559,889.090,10000000
50560,874.899,10000000
50561,866.563,10000000
50562,880.648,10000000
50563,888.257,10000000
50564,878.663,10000000
50565,886.933,10000000
50566,888.491,10000000
50567,888.896,10000000
50568,889.672,10000000
50569,889.820,10000000
50570,889.468,10000000
50571,890.986,10000000
50572,890.286,10000000
50573,890.323,10000000
50574,889.968,10000000
50575,889.727,10000000
50576,889.513,10000000
50577,890.692,10000000
50578,890.285,10000000
50579,890.337,10000000
