Timestamp(ms),Current(uA),D0-D7
5617,909.674,10000000
5618,909.867,10000000
5619,910.350,10000000
5620,910.331,10000000
5621,910.024,10000000
5622,910.101,10000000
5623,909.486,10000000
5624,909.187,10000000
5625,910.318,10000000
5626,911.168,10000000
5627,909.216,10000000
5628,907.713,10000000
5629,907.639,10000000
5630,908.263,10000000
5631,907.743,10000000
5632,908.688,10000000
5633,908.377,10000000
5634,909.386,10000000
5635,908.268,10000000
5636,907.909,10000000
5637,908.643,10000000
5638,908.646,10000000
5639,907.453,10000000
5640,906.714,10000000
5641,907.172,10000000
5642,907.958,10000000
5643,907.913,10000000
5644,907.559,10000000
5645,908.142,10000000
5646,908.268,10000000
5647,908.403,10000000
5648,908.024,10000000
5649,909.644,10000000
5650,909.457,10000000
5651,909.895,10000000
5652,909.058,10000000
5653,909.013,10000000
5654,909.560,10000000
5655,909.166,10000000
5656,909.555,10000000
5657,908.807,10000000
5658,907.339,10000000
5659,906.742,10000000
5660,907.439,10000000
5661,907.442,10000000
5662,908.844,10000000
5663,907.757,10000000
5664,908.309,10000000
5665,908.931,10000000
5666,909.038,10000000
5667,908.786,10000000
5668,908.826,10000000
5669,908.216,10000000
5670,908.412,10000000
5671,908.264,10000000
5672,908.321,10000000
5673,908.800,10000000
5674,907.366,10000000
5675,906.806,10000000
5676,906.555,10000000
5677,907.432,10000000
5678,907.972,10000000
5679,908.624,10000000
5680,908.434,10000000
5681,909.333,10000000
5682,909.525,10000000
5683,908.090,10000000
5684,907.923,10000000
5685,909.346,10000000
5686,907.548,10000000
5687,908.659,10000000
5688,907.739,10000000
5689,908.062,10000000
5690,907.549,10000000
5691,907.383,10000000
5692,907.204,10000000
5693,907.510,10000000
5694,905.621,10000000
5695,906.214,10000000
5696,905.903,10000000
5697,907.727,10000000
5698,908.688,10000000
5699,907.843,10000000
5700,907.854,10000000
5701,907.356,10000000
5702,908.046,10000000
5703,908.282,10000000
5704,908.800,10000000
5705,907.012,10000000
5706,907.345,10000000
5707,906.641,10000000
5708,907.129,10000000
5709,907.934,10000000
5710,906.912,10000000
5711,905.978,10000000
5712,906.807,10000000
5713,908.126,10000000
5714,906.497,10000000
5715,907.003,10000000
5716,906.797,10000000
5717,906.521,10000000
5718,907.727,10000000
5719,907.111,10000000
5720,906.710,10000000
5721,906.093,10000000
5722,906.087,10000000
5723,905.544,10000000
5724,906.582,10000000
5725,906.884,10000000
5726,906.129,10000000
5727,907.373,10000000
5728,907.810,10000000
5729,908.366,10000000
5730,906.514,10000000
5731,905.294,10000000
