Log Start Time,2026-01-18T19:35:18
Delta uS,V Ch1,V Ch2, I, X, Y, Z, Temp, RTC Stamp
36914.0,0.000,0.0,0.0000,-1.80,2.59,14.98,76,2026-01-18T19:35:44
35904.0,0.000,0.0,0.0000,-4.16,3.06,11.92,76,2026-01-18T19:35:44
1472.0,-0.029,0.0,0.0000,0.00,0.78,13.73,76,2026-01-18T19:35:44
56550.0,0.000,0.0,0.0000,0.86,1.26,7.85,76,2026-01-18T19:35:44
150940.0,-0.029,0.0,0.0000,0.00,2.51,10.98,76,2026-01-18T19:35:44
35862.0,0.000,0.0,0.0000,-1.41,1.41,8.71,76,2026-01-18T19:35:44
45940.0,-0.029,0.0,0.0000,-1.18,0.55,7.92,76,2026-01-18T19:35:44
207692.0,0.000,0.0,0.0000,-0.86,4.08,10.20,76,2026-01-18T19:35:44
35566.0,0.000,0.0,0.0000,-0.94,0.94,8.08,76,2026-01-18T19:35:44
59204.0,-0.029,0.0,0.0000,-1.88,1.96,11.22,76,2026-01-18T19:35:44
41848.0,-0.029,0.0,0.0000,-0.86,1.73,8.16,76,2026-01-18T19:35:44
325186.0,-0.029,0.0,0.0000,-1.80,2.51,11.22,76,2026-01-18T19:35:45
192608.0,0.000,0.0,0.0000,-0.16,2.82,7.14,76,2026-01-18T19:35:45
92862.0,0.000,0.0,0.0000,-1.02,0.00,5.81,76,2026-01-18T19:35:45
188960.0,0.000,0.0,0.0000,-0.39,1.57,11.45,76,2026-01-18T19:35:45
59358.0,0.000,0.0,0.0000,-0.63,1.57,8.24,76,2026-01-18T19:35:45
78314.0,0.000,0.0,0.0000,-0.94,0.94,11.45,76,2026-01-18T19:35:45
88516.0,0.000,0.0,0.0000,0.00,0.63,8.08,76,2026-01-18T19:35:45
