a5_V_10000000ohm,absdiff_V_10000000ohm,a5_V_1000000ohm,absdiff_V_1000000ohm,a5_V_330000ohm,absdiff_V_330000ohm,a5_V_10000ohm,absdiff_V_10000ohm,a5_V_1ohm,absdiff_V_1ohm
0.3267,0.0773,0.0376,0.0616,0.0000,0.0508,0.0000,0.0489,0.2112,0.0606
0.3352,0.0876,0.0397,0.0632,0.0000,0.0508,0.0000,0.0491,0.2118,0.0606
0.3360,0.1070,0.0721,0.0612,0.0000,0.0510,0.0000,0.0491,0.2143,0.0455
0.3363,0.0919,0.1042,0.0467,0.0000,0.0512,0.0000,0.0493,0.2185,0.0471
0.3409,0.0814,0.1122,0.0459,0.0000,0.0514,0.0000,0.0493,0.2277,0.0479
0.3441,0.0876,0.1148,0.0659,0.0000,0.0514,0.0000,0.0493,0.2277,0.0622
0.3453,0.1120,0.1168,0.0697,0.0000,0.0514,0.0000,0.0493,0.2363,0.0455
0.3628,0.0995,0.1179,0.0395,0.0000,0.0516,0.0000,0.0493,0.2373,0.0596
0.3683,0.1207,0.1229,0.0634,0.0000,0.0516,0.0000,0.0496,0.2399,0.0634
0.3708,0.1176,0.1233,0.0455,0.0000,0.0516,0.0000,0.0496,0.2501,0.0643
0.3716,0.1164,0.1234,0.0675,0.0000,0.0516,0.0000,0.0496,0.2514,0.0498
0.3787,0.1104,0.1239,0.0626,0.0000,0.0518,0.0000,0.0496,0.2527,0.0417
0.3834,0.1043,0.1242,0.0634,0.0000,0.0518,0.0000,0.0496,0.2679,0.0673
0.3847,0.1223,0.1255,0.0637,0.0000,0.0518,0.0000,0.0498,0.2686,0.0685
0.3953,0.1313,0.1277,0.0697,0.0000,0.0518,0.0000,0.0498,0.2727,0.0496
0.3986,0.1297,0.1325,0.0616,0.0000,0.0518,0.0000,0.0498,0.2755,0.0637
0.4112,0.1198,0.1339,0.0675,0.0000,0.0518,0.0000,0.0498,0.2761,0.0453
0.4143,0.1211,0.1358,0.0681,0.0000,0.0520,0.0000,0.0500,0.2798,0.0713
0.4189,0.1239,0.1384,0.0473,0.0000,0.0520,0.0000,0.0500,0.2867,0.0653
0.4230,0.1418,0.1452,0.0481,0.0000,0.0520,0.0000,0.0502,0.2872,0.0713
0.4258,0.1420,0.1491,0.0477,0.0000,0.0520,0.0000,0.0506,0.2900,0.0518
0.4289,0.1273,0.1523,0.0467,0.0000,0.0522,0.0000,0.0506,0.2907,0.0693
0.4316,0.1293,0.1536,0.0512,0.0000,0.0522,0.0000,0.0516,0.2942,0.0713
0.4364,0.1491,0.1557,0.0477,0.0000,0.0522,0.0000,0.0520,0.2956,0.0506
0.4403,0.1400,0.1564,0.0443,0.0000,0.0522,0.0000,0.0520,0.2962,0.0721
0.4426,0.1531,0.1611,0.0479,0.0000,0.0522,0.0000,0.0520,0.2980,0.0560
0.4469,0.1386,0.1614,0.0491,0.0000,0.0524,0.0000,0.0524,0.2999,0.0512
0.4470,0.1575,0.1665,0.0427,0.0000,0.0524,0.0000,0.0528,0.3013,0.0542
0.4531,0.1575,0.1672,0.0512,0.0000,0.0524,0.0000,0.0530,0.3037,0.0701
0.4578,0.1458,0.1680,0.0657,0.0000,0.0524,0.0001,0.0477,0.3056,0.0739
0.4592,0.1519,0.1770,0.0665,0.0000,0.0524,0.0002,0.0498,0.3130,0.0755
0.4613,0.1664,0.1815,0.0496,0.0000,0.0524,0.0004,0.0479,0.3134,0.0735
0.4621,0.1642,0.1846,0.0673,0.0000,0.0524,0.0004,0.0493,0.3140,0.0572
0.4635,0.1591,0.1851,0.0681,0.0000,0.0524,0.0004,0.0496,0.3145,0.0604
0.4651,0.1700,0.1864,0.0669,0.0000,0.0524,0.0004,0.0500,0.3219,0.0556
0.4666,0.1581,0.1875,0.0679,0.0000,0.0524,0.0004,0.0510,0.3229,0.0610
0.4680,0.1716,0.1887,0.0538,0.0000,0.0526,0.0005,0.0373,0.3251,0.0733
0.4712,0.1767,0.1920,0.0455,0.0000,0.0526,0.0006,0.0504,0.3275,0.0568
0.4724,0.1785,0.1928,0.0661,0.0000,0.0526,0.0008,0.0330,0.3294,0.0602
0.4762,0.1817,0.1932,0.0735,0.0000,0.0526,0.0008,0.0477,0.3397,0.0790
0.4781,0.1688,0.1964,0.0483,0.0000,0.0528,0.0008,0.0496,0.3441,0.0782
0.4821,0.1827,0.1972,0.0697,0.0000,0.0528,0.0008,0.0504,0.3442,0.0653
0.4837,0.1865,0.1977,0.0675,0.0000,0.0528,0.0008,0.0536,0.3447,0.0769
0.4867,0.1889,0.1984,0.0465,0.0000,0.0530,0.0008,0.0538,0.3456,0.0816
0.4934,0.1901,0.1985,0.0673,0.0000,0.0530,0.0008,0.0550,0.3513,0.0773
0.4939,0.1924,0.1987,0.0707,0.0000,0.0530,0.0011,0.0379,0.3520,0.0818
0.4955,0.1829,0.2082,0.0731,0.0000,0.0530,0.0011,0.0500,0.3537,0.0806
