# threshold_resistor_ohms,330000
a5_V,post_toggle_abs_diff_V
0.5372,0.1916
0.5391,0.2111
0.5401,0.2103
0.5415,0.2127
0.5415,0.2171
0.5446,0.2228
0.5475,0.2026
0.5506,0.2123
0.5508,0.2212
0.5531,0.2286
0.5535,0.2107
0.5598,0.2308
0.5607,0.2216
0.5615,0.2365
0.5656,0.2403
0.5721,0.2421
0.5725,0.2250
0.5752,0.2395
0.5756,0.2286
0.5795,0.2486
0.5798,0.2472
0.5809,0.2222
0.5848,0.2385
0.5876,0.2355
0.5892,0.2522
0.5954,0.2439
0.5960,0.2570
0.5986,0.2578
0.5988,0.2663
0.6039,0.2512
0.6041,0.2667
0.6070,0.2542
0.6076,0.2733
0.6135,0.2745
0.6143,0.2778
0.6168,0.2727
0.6225,0.2685
0.6250,0.2637
0.6257,0.2810
0.6291,0.2947
0.6293,0.2852
0.6305,0.2707
0.6307,0.2836
0.6333,0.2723
0.6339,0.2745
0.6359,0.2923
0.6370,0.2784
0.6396,0.2772
0.6408,0.2764
0.6413,0.2999
0.6424,0.2957
0.6434,0.2868
0.6436,0.3005
0.6446,0.3029
0.6459,0.2772
0.6467,0.2955
0.6474,0.3003
0.6522,0.3013
0.6563,0.3050
0.6597,0.3080
0.6603,0.3086
0.6607,0.3048
0.6607,0.3098
0.6626,0.2895
0.6632,0.3038
0.6640,0.3090
0.6666,0.3084
0.6749,0.2993
0.6754,0.3130
0.6766,0.3142
0.6784,0.3150
0.6791,0.3177
0.6792,0.3021
0.6835,0.3179
0.6861,0.3042
0.6877,0.3219
0.6908,0.3233
0.6924,0.3152
0.6935,0.3239
0.6953,0.3332
0.6954,0.3110
0.6975,0.3154
0.7003,0.3158
0.7016,0.3140
0.7053,0.3356
0.7074,0.3187
0.7100,0.3191
0.7104,0.3181
0.7129,0.3360
0.7130,0.3396
0.7143,0.3376
0.7162,0.3422
0.7178,0.3253
0.7240,0.3418
0.7240,0.3438
0.7247,0.3471
0.7264,0.3442
0.7292,0.3332
0.7296,0.3465
0.7330,0.3473
0.7371,0.3457
0.7380,0.3352
0.7385,0.3499
0.7390,0.3533
0.7414,0.3384
0.7443,0.3529
0.7454,0.3420
0.7473,0.3573
0.7489,0.3565
0.7495,0.3499
0.7551,0.3440
0.7563,0.3454
0.7581,0.3533
0.7627,0.3612
0.7631,0.3620
0.7642,0.3495
0.7691,0.3662
0.7723,0.3521
0.7733,0.3545
0.7734,0.3547
0.7749,0.3706
0.7775,0.3694
0.7795,0.3648
0.7830,0.3593
0.7840,0.3602
0.7850,0.3497
0.7905,0.3610
0.7947,0.3781
0.7952,0.3793
0.7956,0.3630
0.7983,0.3678
0.8008,0.3805
0.8050,0.3859
0.8053,0.3632
0.8105,0.3668
0.8142,0.3873
0.8152,0.3884
0.8163,0.3894
0.8188,0.3865
0.8195,0.3755
0.8230,0.3690
0.8237,0.3910
0.8303,0.3749
0.8305,0.3942
0.8319,0.3807
0.8340,0.3769
0.8350,0.3849
0.8355,0.3956
0.8429,0.3996
0.8466,0.4047
0.8498,0.3902
0.8521,0.3986
0.8523,0.4033
0.8526,0.4008
0.8554,0.4093
0.8561,0.3855
0.8563,0.3797
0.8568,0.3904
0.8612,0.3892
0.8628,0.4069
0.8631,0.4059
0.8661,0.4079
0.8676,0.3956
0.8706,0.3948
0.8736,0.3944
0.8799,0.4149
0.8817,0.4121
0.8819,0.4159
0.8841,0.4139
0.8845,0.3982
0.8851,0.4230
0.8900,0.4027
0.8900,0.4029
0.8923,0.4039
0.8930,0.4228
0.8940,0.4004
0.8971,0.4214
0.8984,0.4250
0.9001,0.4206
0.9010,0.4240
0.9024,0.4077
0.9029,0.4202
0.9051,0.4101
0.9100,0.4280
0.9114,0.4252
0.9130,0.4250
0.9174,0.4242
0.9198,0.4069
0.9199,0.4133
0.9229,0.4166
0.9244,0.4296
0.9253,0.4170
0.9279,0.4353
0.9304,0.4202
0.9306,0.4331
0.9309,0.4290
0.9323,0.4238
0.9350,0.4309
0.9371,0.4367
0.9402,0.4359
0.9404,0.4409
0.9419,0.4395
0.9457,0.4385
0.9522,0.4397
0.9532,0.4429
0.9535,0.4399
0.9570,0.4274
0.9618,0.4472
0.9641,0.4435
0.9646,0.4506
0.9685,0.4492
0.9689,0.4460
0.9760,0.4488
0.9764,0.4381
0.9784,0.4357
0.9817,0.4506
0.9853,0.4506
0.9871,0.4508
0.9885,0.4615
0.9905,0.4355
0.9968,0.4401
0.9969,0.4508
1.0011,0.4298
1.0050,0.4591
1.0061,0.4444
1.0097,0.4425
1.0103,0.4444
1.0110,0.4613
1.0162,0.4613
1.0163,0.4492
1.0178,0.4423
1.0197,0.4480
1.0206,0.4462
1.0253,0.4488
1.0318,0.4470
1.0332,0.4647
1.0350,0.4536
1.0376,0.4689
1.0398,0.4520
1.0420,0.4665
1.0465,0.4587
1.0467,0.4693
1.0490,0.4546
1.0493,0.4560
1.0534,0.4705
1.0550,0.4593
1.0601,0.4538
1.0657,0.4814
1.0664,0.4572
1.0670,0.4589
1.0671,0.4593
1.0726,0.4625
1.0738,0.4746
1.0750,0.4752
1.0796,0.4552
1.0814,0.4808
1.0830,0.4774
1.0835,0.4669
1.0884,0.4669
1.0911,0.4832
1.0936,0.4685
1.0936,0.4867
1.0953,0.4691
1.0983,0.4824
1.0999,0.4728
1.1012,0.4663
1.1030,0.4782
1.1044,0.4854
1.1050,0.4717
1.1101,0.4862
1.1113,0.4715
1.1146,0.4834
1.1163,0.4705
