Log Start Time,2026-01-17T19:56:48
Delta uS,V Ch1,V Ch2, I, Temp, RTC Stamp
1072.0,10.206,0.0,2.0300,73,2026-01-17T19:57:38
1072.0,10.176,0.0,3.2200,73,2026-01-17T19:57:38
1076.0,10.088,0.0,4.4225,73,2026-01-17T19:57:38
1072.0,10.058,0.0,5.0200,73,2026-01-17T19:57:38
195812.0,10.088,0.0,4.2150,73,2026-01-17T19:57:39
1080.0,10.147,0.0,3.6150,73,2026-01-17T19:57:39
1076.0,10.176,0.0,2.4100,73,2026-01-17T19:57:39
1072.0,10.235,0.0,1.2125,73,2026-01-17T19:57:39
1072.0,10.294,0.0,0.1350,73,2026-01-17T19:57:39
370976.0,10.265,0.0,0.1025,73,2026-01-17T19:57:39
424788.0,10.206,0.0,1.3325,73,2026-01-17T19:57:39
1080.0,10.206,0.0,2.5400,73,2026-01-17T19:57:39
1076.0,10.176,0.0,3.1375,73,2026-01-17T19:57:39
1072.0,10.088,0.0,4.3425,73,2026-01-17T19:57:39
1072.0,10.058,0.0,5.1200,73,2026-01-17T19:57:39
195748.0,10.088,0.0,4.2975,73,2026-01-17T19:57:40
1084.0,10.147,0.0,3.0975,73,2026-01-17T19:57:40
1076.0,10.176,0.0,2.4950,73,2026-01-17T19:57:40
1072.0,10.235,0.0,1.2950,73,2026-01-17T19:57:40
1072.0,10.324,0.0,0.1675,73,2026-01-17T19:57:40
371904.0,10.324,0.0,0.1025,73,2026-01-17T19:57:40
423816.0,10.235,0.0,1.2425,73,2026-01-17T19:57:40
1080.0,10.176,0.0,2.4550,73,2026-01-17T19:57:40
1076.0,10.117,0.0,3.6575,73,2026-01-17T19:57:40
1072.0,10.058,0.0,4.2575,73,2026-01-17T19:57:40
1072.0,10.029,0.0,5.1200,73,2026-01-17T19:57:40
195744.0,10.088,0.0,4.3800,73,2026-01-17T19:57:41
1080.0,10.147,0.0,3.1775,73,2026-01-17T19:57:41
1076.0,10.206,0.0,1.9775,73,2026-01-17T19:57:41
1072.0,10.235,0.0,1.3775,73,2026-01-17T19:57:41
1072.0,10.324,0.0,0.2125,73,2026-01-17T19:57:41
1072.0,10.294,0.0,0.1025,73,2026-01-17T19:57:41
370988.0,10.324,0.0,0.1000,73,2026-01-17T19:57:41
1001064.0,10.294,0.0,0.1000,73,2026-01-17T19:57:42
1001376.0,10.294,0.0,0.1050,74,2026-01-17T19:57:43
1001032.0,10.324,0.0,0.1025,73,2026-01-17T19:57:44
1001428.0,10.324,0.0,0.0000,73,2026-01-17T19:57:45
1000568.0,10.294,0.0,0.0000,73,2026-01-17T19:57:46
1000744.0,10.294,0.0,0.0000,73,2026-01-17T19:57:47
86332.0,10.029,0.0,0.0000,73,2026-01-17T19:57:47
25476.0,9.704,0.0,0.0000,73,2026-01-17T19:57:47
25464.0,9.409,0.0,0.0000,73,2026-01-17T19:57:47
26244.0,9.114,0.0,0.0000,74,2026-01-17T19:57:47
25460.0,8.819,0.0,0.0000,73,2026-01-17T19:57:47
25452.0,8.524,0.0,0.0000,73,2026-01-17T19:57:47
26548.0,8.259,0.0,0.0000,73,2026-01-17T19:57:47
28652.0,7.994,0.0,0.0000,74,2026-01-17T19:57:47
26564.0,7.728,0.0,0.0000,73,2026-01-17T19:57:47
28660.0,7.463,0.0,0.0000,73,2026-01-17T19:57:47
29732.0,7.197,0.0,0.0000,73,2026-01-17T19:57:47
32960.0,6.932,0.0,0.0000,74,2026-01-17T19:57:47
25464.0,6.666,0.0,0.0000,73,2026-01-17T19:57:47
36152.0,6.401,0.0,0.0000,74,2026-01-17T19:57:48
37828.0,6.135,0.0,0.0000,73,2026-01-17T19:57:48
32944.0,5.870,0.0,0.0000,74,2026-01-17T19:57:48
37208.0,5.604,0.0,0.0000,73,2026-01-17T19:57:48
40396.0,5.339,0.0,0.0000,73,2026-01-17T19:57:48
45740.0,5.073,0.0,0.0000,73,2026-01-17T19:57:48
42532.0,4.808,0.0,0.0000,73,2026-01-17T19:57:48
47888.0,4.542,0.0,0.0000,73,2026-01-17T19:57:48
53208.0,4.277,0.0,0.0000,73,2026-01-17T19:57:48
44684.0,4.012,0.0,0.0000,73,2026-01-17T19:57:48
62812.0,3.746,0.0,0.0000,74,2026-01-17T19:57:48
59312.0,3.481,0.0,0.0000,73,2026-01-17T19:57:48
47872.0,3.304,0.0,0.0000,73,2026-01-17T19:57:48
24380.0,3.215,0.0,0.0000,74,2026-01-17T19:57:48
67116.0,2.950,0.0,0.0000,73,2026-01-17T19:57:48
69220.0,2.684,0.0,0.0000,73,2026-01-17T19:57:48
93748.0,2.419,0.0,0.0000,73,2026-01-17T19:57:48
101236.0,2.153,0.0,0.0000,73,2026-01-17T19:57:48
109764.0,1.888,0.0,0.0000,73,2026-01-17T19:57:49
123616.0,1.622,0.0,0.0000,73,2026-01-17T19:57:49
157960.0,1.357,0.0,0.0000,73,2026-01-17T19:57:49
174840.0,1.091,0.0,0.0000,73,2026-01-17T19:57:49
78372.0,1.032,0.0,0.0000,74,2026-01-17T19:57:49
129996.0,0.826,0.0,0.0000,73,2026-01-17T19:57:49
318824.0,0.560,0.0,0.0000,73,2026-01-17T19:57:50
553080.0,0.324,0.0,0.0000,73,2026-01-17T19:57:50
1000612.0,0.118,0.0,0.0000,73,2026-01-17T19:57:51
1000416.0,0.059,0.0,0.0000,74,2026-01-17T19:57:52
